
ID: 1, Название игрушки: 1, Количество: 2, Удеельный вес 60, Материал: Стальная
ID: 1, Название игрушки: 1, Количество: 1, Удеельный вес 60, Материал: Стальная
ID: 1, Название игрушки: 1, Количество: 0, Удеельный вес 60, Материал: Стальная
ID: 2, Название игрушки: 2, Количество: 4, Удеельный вес 30, Материал: Пластик
ID: 2, Название игрушки: 2, Количество: 3, Удеельный вес 30, Материал: Пластик
ID: 2, Название игрушки: 2, Количество: 2, Удеельный вес 30, Материал: Пластик
ID: 2, Название игрушки: 2, Количество: 1, Удеельный вес 30, Материал: Пластик
ID: 2, Название игрушки: 2, Количество: 0, Удеельный вес 30, Материал: Пластик
ID: 3, Название игрушки: 3, Количество: 1, Удеельный вес 10, Материал: Пластик
ID: 1, Название игрушки: 1, Количество: 9, Удеельный вес 60, Материал: Стальная
ID: 1, Название игрушки: 1, Количество: 8, Удеельный вес 60, Материал: Стальная
ID: 1, Название игрушки: 1, Количество: 7, Удеельный вес 60, Материал: Стальная
ID: 1, Название игрушки: 1, Количество: 6, Удеельный вес 60, Материал: Стальная
ID: 1, Название игрушки: 1, Количество: 5, Удеельный вес 60, Материал: Стальная
ID: 1, Название игрушки: 1, Количество: 4, Удеельный вес 60, Материал: Стальная
ID: 1, Название игрушки: 1, Количество: 3, Удеельный вес 60, Материал: Стальная
ID: 1, Название игрушки: 1, Количество: 2, Удеельный вес 60, Материал: Стальная
ID: 3, Название игрушки: 3, Количество: 0, Удеельный вес 10, Материал: Пластик
ID: 2, Название игрушки: 2, Количество: 4, Удеельный вес 30, Материал: Пластик
ID: 2, Название игрушки: 2, Количество: 3, Удеельный вес 30, Материал: Пластик
ID: 2, Название игрушки: 2, Количество: 2, Удеельный вес 30, Материал: Пластик
ID: 2, Название игрушки: 2, Количество: 1, Удеельный вес 30, Материал: Пластик
ID: 3, Название игрушки: 3, Количество: 4, Удеельный вес 10, Материал: Пластик
ID: 3, Название игрушки: 3, Количество: 3, Удеельный вес 10, Материал: Пластик
ID: 2, Название игрушки: 2, Количество: 0, Удеельный вес 30, Материал: Пластик
ID: 3, Название игрушки: 3, Количество: 2, Удеельный вес 10, Материал: Пластик
